SMILES,3CL_enzymatic_activity,ACE2_enzymatic_activity,HEK293_cell_line_toxicity_,Human_fibroblast_toxicity,MERS_Pseudotyped_particle_entry,MERS_Pseudotyped_particle_entry_(Huh7_tox_counterscreen),SARS-CoV_Pseudotyped_particle_entry,SARS-CoV_Pseudotyped_particle_entry_(VeroE6_tox_counterscreen),SARS-CoV-2_cytopathic_effect_(CPE),SARS-CoV-2_cytopathic_effect_(host_tox_counterscreen),Spike-ACE2_protein-protein_interaction_(AlphaLISA),Spike-ACE2_protein-protein_interaction_(TruHit_Counterscreen),TMPRSS2_enzymatic_activity
C\C=C(C)/C(=O)O[C@@H]1C[C@@H](OC(=O)\C(C)=C/C)[C@]2(C)C\3C(C2C(=O)\C=C3C)C1(C)C,0,,0,,,,,,0,0,,,
COC(=O)C/1=C(C2=CC=C[NH]2)/C3=CC=CC=C3C(=O)N1,0,,1,,,,,,0,0,,,
CC(C)CC(=O)OC1O\C=C(\CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C3CC(O)C(O)(CO)C13,0,,0,,,,,,0,0,,,
C1CCN2C[C@@H]3CC(CN4CCCC[C@H]34)[C@@H]2C1,0,,0,,,,,,,,,,
CC(C)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,0,,0,,,,,,0,0,,,
CC/1=C/C(=O)C2C(C)(C)CCCC2(C)C13CCC4(COC(=O)C4)O3,0,,0,,,,,,0,0,,,
C[C@@H]1C[C@@H](O)[C@]2(O)O[C@@H]3C[C@@]4(C=O)C(CC[C@@H]5C4CC[C@@]6(C)[C@]5(O)CC[C@]6(O)\C7=C\C(=O)OC7)C[C@H]3OC2O1,0,,2,,,,,,0,3,,,
COC1=C(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C=CC(=C1)CO,0,,0,,,,,,0,0,,,
CC1=C[N]2C=C(CC(=O)N3CCC4(CC3)CN(CC5=CC=C(C=C5Cl)[N]6N=CC=N6)C4)N=C2S1,0,,1,,,,,,0,0,,,
CCC(=O)N1CCN(CC1)C2=C(C=C(C=C2)N3C(=O)\C=C/C4=C3C5=CC(=CC=C5N=C4)C6=CN=C7C=CC=CC7=C6)C(F)(F)F,0,,3,,,,,,,,,,
CN1C(=O)C(=C/2N(C(=O)N(C3CC3)C(=O)C2=C1/NC4=CC=C(I)C=C4F)C5=CC=CC(=C5)NC(C)=O)\C,0,,1,,,,,,,,,,
COC(=O)CCC(=O)OC[C@]1(C)CCC[C@]2(C)C1CCC3\4C[C@](C)(CCC23)\C=C4,0,,0,,,,,,0,0,,,
C[C@H]1CC[C@@H]2[C@@H](OC(=O)C2=C)C(C)(O)[C@@]13CCC(=O)O3,0,,1,,,,,,0,0,,,
COC1=CC2=C(C=C1)C3=C4[C@H](CC(C)(C)OO[C@H](C=C(C)C)[N]24)N5C(=O)[C@@H]6CCCN6C(=O)[C@]5(O)[C@H]3OCC=C(C)C,0,,0,,,,,,2,2,,,
C/C=C(C)/C(=O)OC[C@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](COC(=O)\C(C)=C\C)O[C@@H]2O[C@H]3O[C@H](COC(=O)\C(C)=C\C)[C@@H](O)[C@H](O)[C@H]3O[C@@H]4O[C@H](COC(=O)\C(C)=C\C)[C@@H](O)[C@H](OC(=O)\C(C)=C\C)[C@H]4O)[C@H](O)[C@@H](O)[C@@H]1O,0,,0,,,,,,0,0,,,
CC(C)(C)C1=CC2=C(C=C1)[C@@H](CC2)NC(=O)NC3=C4C=N[NH]C4=CC=C3,0,,1,,,,,,0,0,,,
CCCN(CCC)[C@@H]1CCC2=C(C1)C3=C([NH]C(=C3)C#N)C=C2,0,,1,,,,,,0,0,,,
CC(C)(C)C1=CC=C(C=C1)[S+]([O-])(=O)NCC2=CC=C(C=C2)C(=O)NC3=CN=CC=C3,0,,3,,,,,,0,1,,,
CCCC1=CC2=C(N=CN=C2S1)N3CCN(CC3)/C4=N/CC(C)(C)S4,0,,2,,,,,,,,,,
CCNC(=O)C1=NOC(=C1C2=CC=C(OC)C=C2)C3=CC(=C(O)C=C3O)Cl,0,,3,,,,,,0,2,,,
OC(=O)C1CCCC1C(=O)C2=CC=C(C=C2)C3=CC=C(NC(=O)NC4=CC=CC=C4)C=C3,0,,0,,,,,,,,,,
ClC1=CC=C(NC2=NC3=C(C=CC=C3)C4=C2[NH]C(=N4)C5CCCCC5)C=C1Cl,0,,1,,,,,,0,2,,,
[O-][N+](=O)C1=CC(=CC=C1Cl)C(=O)N2CCN(CC2)C3=CC=CC=C3F,0,,0,,,,,,0,0,,,
COC1=C(C=C(Cl)C=C1)C(=O)NCCC2=CC=C(C=C2)[S+]([O-])(=O)NC(=O)NC3CCCCC3,0,,0,,,,,,,,,,
CCC(C)CNCC(=O)N1CCC2=C(C=CS2)C1COC3=CC(=CC=C3)C,0,,1,,,,,,1,0,,,
C/C=C(C)/C(=O)OC[C@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](COC(=O)\C(C)=C\C)O[C@@H]2O[C@H]3O[C@H](COC(=O)\C(C)=C\C)[C@@H](O)[C@H](O)[C@H]3O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](OC(=O)\C(C)=C\C)[C@H]4O)[C@H](O)[C@@H](O)[C@@H]1O,0,,0,,,,,,0,0,,,
N[C@H](C(=O)N1[C@@H](C[C@@H]2C[C@H]12)C#N)C34CC5CC(CC(O)(C5)C3)C4,0,,0,,,,,,0,0,,,0
OC(C(=O)OC1CN2CCC1CC2)(C3=CC=CC=C3)C4=CC=CC=C4,0,,1,,,,,,0,0,,,
COC1=C(OC)C=C2C(=NC(=NC2=C1)C3=CC=C(C=C3)N4CCN(C)CC4)NCCN5CCOCC5,0,,2,2,,,,,1,0,,,0
CC(=O)O[C@H]1CN2CCC1CC2,0,,0,,,,,,0,0,,,
OC1=CC2=C(C[C@@H]3[C@@H]4CCCCC24CCN3CC5CCC5)C=C1,0,,1,,,,,,0,0,,,
CCC/1=C(\C)NC2=C(C=N[N]2C1=O)C3=C[N](N=C3)C4=NC=CC(=C4)CO,0,,0,,,,,,,,,,
CN1CCN(CC1)C(=O)C2=CC3=CC=C(CCNC4=C5C=C(C=CC5=NC=N4)C#N)C=C3C=C2,0,,2,,,,,,0,0,,,0
CC1(C)C\C=C(C2=CN=C3C=CC=CC3=C2)/C4=C1C=CC(=C4)C(=O)NC5=CC=C(C=C5)C(O)=O,0,,0,,,,,,0,0,,,
COC1=CC=C(CCN(C)CCCOC2=NSC(=N2)C3=CC=CC=C3)C=C1OC,0,,1,,,,,,0,0,,,
C1CCC2=C(C1)N=C(N=C2NCC3=CC=CC=C3)N4CCOC5=C4C=CC=C5,0,,1,,,,,,1,0,,,0
CCC(CC)C([N]1C=NC=N1)C2=CC=C(NC3=NC4=CC=CC=C4S3)C=C2,0,,1,,,,,,0,1,,,0
CN(C)CCC(CSC1=CC=CC=C1)NC2=C(C=C(C=C2)[S+]([O-])(=O)NC(=O)C3=CC=C(C=C3)N4CCN(CC4)CC5=C(C=CC=C5)C6=CC=C(Cl)C=C6)[N+]([O-])=O,1,,1,,,,,,,,,,
CC/1=C/N(C[C@H](N)C(O)=O)C(=O)N(CC2=C(SC(=C2)C3=CC=CC=C3)C(O)=O)C1=O,0,,0,,,,,,0,0,,,
CN1CCC(CC1)NC2=NC\3=C(C(=O)N\C=C3Br)C(=N2)NC4=CC=C(OC5=CC=CC=C5)C=C4,0,,2,,,,,,0,2,,,
COC1=C(C=CC=C1)[C@H](C2=C3C=CC=CC3=CC=C2)[C@@](C)(C#N)C(=O)N4CCC(CC4)C5=CC=CC(=C5)C(F)(F)F,0,,1,0,,,,,0,0,,,0
O[C@@H](CC[C@@H]1[C@H](N(C1=O)C2=CC=C(F)C=C2)C3=CC=C(O)C=C3)C4=CC=C(F)C=C4,0,,,,,,,,0,0,,,0
C[C@]12CC[C@H]3[C@@H](CC(=C)\C4=C\C(=O)\C=C/[C@]34C)[C@@H]1CCC2=O,0,,,,,,,,0,0,,,0
CC1=C([N](N=C1C(=O)NN2CCCCC2)C3=CC=C(Cl)C=C3Cl)C4=CC=C(Cl)C=C4,0,,,,,,,,0,1,,,0
CNC(=O)C1=NC=CC(=C1)OC2=CC3=C(C=C2)N=C(N[C@@H]4CCCC[C@H]4O)S3,0,,1,,,,,,0,0,,,0
CN(C)C\C=C\C(=O)NC1=CC2=C(NC3=CC(=C(F)C=C3)Cl)N=CN=C2C=C1O[C@H]4CCOC4,0,,,,,,,,0,2,,,0
NC1(CCN(CC1)C2=C3C=C[NH]C3=NC=N2)CC4=CC=C(Cl)C=C4,0,,2,,,,,,0,1,,,0
C1CN(CCN1)CC2=C3C=CC=CC3=CC=C2,0,,0,0,,,,,0,0,,,0
FC1=CC(=CC(=C1)F)[C@@H]2CNC3(CCCC3)C(=O)N2CC(=O)NC4=CC=C5C[C@]6(CC5=C4)C(=O)NC7=C6C=CC=N7,0,,,,,,,,0,0,,,0
CCCOC1=CC=C(CCC2=NC3=C(C=CC(=C3)C4=C(C)ON=C4C)[N]2CCN5CCOCC5)C=C1,0,,1,,,,,,0,2,,,2
CNC(=O)C1=CC=C(C=C1F)C2=N[N]3C(=CN=C3N=C2)CC4=CC=C5N=CC=CC5=C4,0,,1,,,,,,0,0,,,0
COC1=C(F)C=C\2C(=C1)\N=C/3NNC(=C3\N=C2C4=CC=CC=C4Cl)/C,0,,,,,,,,0,1,,,0
CC1=C(SC(=N1)NC(=O)N2CCC[C@H]2C(N)=O)C3=CC(=NC=C3)C(C)(C)C(F)(F)F,0,,,,,,,,0,0,,,0
FC(F)C1=N[N](C(=C1)C2=CN=C(NC(=O)C3CC3)S2)C4=C(Cl)C=CC=C4Cl,0,,3,,,,,,0,2,,,0
O=C1NCCCCC1NC(=O)C2=C(NC(=O)C3=CC4=C(S3)C=CC=C4)C=CC=C2,0,,1,,,,,,,,,,
CCCCOC(=O)N[S+]([O-])(=O)C1=C(C=C(CC(C)C)S1)C2=CC=C(C[N]3C=CN=C3)C=C2,0,,1,,,,,,0,0,,,0
CC/C=C/CC/1=C(CCCCCCCC(O)=O)/CCC1=O,0,,0,,,,,,0,0,,,
OC[C@H]1O[C@@H](OC[C@H]2O[C@@H](OC/C=C/C3=CC=CC=C3)[C@H](O)[C@@H](O)[C@@H]2O)[C@@H](O)[C@@H]1O,0,,0,,,,,,0,0,,,
COC(=O)C/1=C/O[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]3C(=C/C[C@]13O)\CO,0,,0,,,,,,0,0,,,
C[C@]12CC[C@H](O)C[C@H]1CC[C@@H]3[C@@H]2[C@H](O)C(=O)[C@]4(C)[C@H](CC[C@]34O)C\5=C\OC(=O)\C=C5,0,,3,,,,,,,,,,
CC1(O)CCCC2(C)C1CCC34CC(CO)C(CCC23)C4,0,,0,,,,,,0,0,,,
COC1=CC2=NC=NC(=C2C=C1OC)NC3=CC=C(O)C(=C3)Br,0,,1,,,,,,,,,,
C[C@@H]1CC[C@@]2(CC[C@]3(C)\C(=C/CC4[C@@]5(C)CC[C@H](O)[C@@](C)(C5CC[C@@]34C)C(O)=O)C2[C@]1(C)O)C(=O)OC6OC(CO)C(O)C(O)C6O,0,,0,,,,,,0,0,,,
C[S+]([O-])(=O)C1=CC=C(C=C1)[C@H](CC2CCCC2)C(=O)NC3=NC=CS3,0,,0,,,,,,,,,,
CO[C@H]\1/C=C/[C@@](C)(O)/C=C/C(=O)O[C@H](C)[C@@H](C)CC/C=C1C,0,,0,,,,,,0,0,,,
CC(C)(C)SC1=C(CC(C)(C)C(O)=O)[N](CC2=CC=C(Cl)C=C2)C3=C1C=C(OCC4=NC5=CC=CC=C5C=C4)C=C3,0,,1,,,,,,,,,,
C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@@H](O)CO[C@H]2OC(=O)[C@]34CCC(C)(C)C[C@H]3C/5=C/CC6[C@@]7(C)C[C@H](O)[C@H](O[C@@H]8O[C@H](CO)[C@@H](O[C@@H]9O[C@H](CO)[C@@H](O)[C@H](O)[C@H]9O)[C@H](O)[C@H]8O)[C@@](C)(CO)C7[C@H](O)C[C@@]6(C)[C@]5(C)C[C@H]4O)[C@H](O)[C@H](O)[C@H]1O[C@@H]%10OC[C@@H](O)[C@H](O[C@@H]%11OC[C@](O)(CO)[C@H]%11O)[C@H]%10O,0,,0,,,,,,0,0,,,
CC(=C)[C@@H]1CC[C@]2(C)CC[C@]3(C)C(CCC4[C@@]5(C)CC[C@H](O)C(C)(C)C5CC[C@@]34C)C12,0,,0,,,,,,,,,,
CC(=O)CC[C@H]1[C@@H]2C[C@H]3[C@@H](C[C@]12C)OC(=O)C3=C,0,,0,,,,,,0,0,,,
COC(=O)C[C@H]\1C(=C/COC(=O)\C=C\C2=CC(=C(O)C=C2)OC)/[C@@H](O\C=C1C(O)=O)O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O,0,,0,,,,,,0,0,,,
CCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O[C@@H]2OC[C@@H](O)[C@H](O)[C@H]2O,0,,0,,,,,,0,0,,,
OC1=CC=C(C=C1)C/2OC(=O)C(=C2O)/CC3=CC=CC=C3,0,,0,,,,,,0,0,,,
CC(=O)OC1CC(O)C2(C)C3CCC4(C)C(C(=O)C5OC45C3(C)C(CC2C1(C)C)OC(C)=O)C6=COC=C6,0,,0,,,,,,0,0,,,
CC1(C/C=C/2C(CCC3C(C)(CCCC23C)C(O)=O)C1)C=C,1,,0,,,,,,0,0,,,
CCC(C)C(=O)OC1CC(C)\C=C2\C=C/C(C)C(CCC(O)CC(O)CC(O)=O)C12,0,,0,,,,,,0,0,,,
CO[C@H]1C[C@@H](O[C@@H](C)[C@@H]1O[C@@H]2O[C@H](CO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)O[C@H]4CC[C@]5(C)C6CC[C@]7(C)[C@H](CC[C@]7(O)C6C/C=C5/C4)\C8=C\C(=O)OC8,0,,0,,,,,,0,0,,,
OC[C@H]1O[C@@H](OC2=C(COC(=O)/C=C/C3=CC=C(O)C(=C3)O)C=CC=C2)[C@H](O)[C@@H](O)[C@@H]1O,0,,0,,,,,,0,0,,,
CC(C)C(=O)NC1=NC=C(S1)C2=CC(=N[N]2C3=C(Cl)C=CC=C3Cl)C(F)F,0,,1,,,,,,0,1,,,0
COCCOC1=CC=C(C=C1)N2CCN(CC2)CC[N]3N=CC4=C3N=C(N)[N]5N=C(N=C45)C6=CC=CO6,0,,0,,,,,,0,0,,,0
CCCCC1CCN(CCCN2C(=O)CCC3=CC=CC=C23)CC1,0,,1,,,,,,0,0,,,
CCC(COC)[N]1N=NC2=C(NC3=CC=C(OC)C=C3C)N=C(C)C=C12,0,,0,,,,,,0,0,,,
COC1=CC2=NC=CC(=C2C=C1)OC3=CN=C(NC(=O)C/4=C(C)/N(CC(C)(C)O)N(C4=O)C5=CC=CC=C5)C=C3,0,,1,,,,,,,,,,
CC1=C(C=CC=C1)C#CC2=CC=C(CCC(O)=O)C=C2,0,,0,,,,,,0,0,,,
OC(=O)CC1=CC(=C(OC2=CC(=C(O)C=C2)I)C(=C1)I)I,1,,1,,,,,,0,0,,,
ClC1=CC=C2[N]3C=NC(=C3N4CC/N=C4/C2=C1)C5=NOC(=N5)C6CC6,0,,0,,,,,,0,0,,,
CC(=O)O[C@@H]1CC[C@@]2(C)[C@H](CC[C@H]3[C@@H]4CC[C@H](C(C)=O)[C@@]4(C)[C@H](C[C@H]23)OC(C)=O)C1,0,,1,,,,,,0,0,,,
C[C@@H](C1=NC(=CS1)C2=CC=C(C=C2)C#N)[C@](O)(C[N]3C=NC=N3)C4=CC(=CC=C4F)F,0,,2,,,,,,,,,,
O[C@@H](CNC(C)(C)C)c1ccc(O)cc1Cl,0,,0,0,,,,,0,0,,,
NC1=NC2=C([NH]C=N2)C(=N1)OCC3=CC(=CS3)Br,0,,1,,,,,,0,0,,,0
CN\1N(C2=CC=CC=C2)C(=O)\C(=C1C)N3C(=O)C4=C(C=C(C=C4)C(O)=O)C3=O,0,,0,,,,,,0,0,,,
CN1C(=O)C(CC2=C[NH]C3=C2C=CC=C3)NC1=S,0,,0,,,,,,,,,,
CC\1=C/C=C\C=[N]1[Pt](N)(Cl)Cl,0,,0,0,,,,,0,0,,,0
COC1=CC=C2N=CC=C([C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@@H]4C=C)C2=C1,0,,1,0,,,,,0,0,,,0
C[C@H](NC1=NC(=C(Cl)C=N1)NC2=N[NH]C(=C2)C)C3=NC=C(F)C=N3,0,,,,,,,,0,2,,,0
COC1=C(OC)C2=C(C=C1)[C@@H](OC2=O)[C@@H]3N(C)CCC4=C3C(=C5OCOC5=C4)OC,0,,,,,,,,,,,,
CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2[C@H]3CCC[C@H]3C[C@H]2C(O)=O,0,,,,,,,,0,0,,,0
[H][C@]1(C)O[C@]([H])(O[C@]2([H])[C@@]([H])(CO)O[C@]([H])(O[C@]3([H])[C@@]([H])(CO)OC(O)[C@]([H])(O)[C@@]3([H])O)[C@]([H])(O)[C@@]2([H])O)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])N[C@@]4([H])C=C(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]4([H])O,0,,,,,,,,0,0,,,0
ClC1=CC2=C(C=C1)N(C3CCN(CCCN4C(=O)NC5=C4C=CC=C5)CC3)C(=O)N2,0,,,,,,,,0,0,,,0
CC[C@]12CC[C@H]3[C@@H](CCC/4=C/C(=O)CC[C@H]34)[C@@H]1\C=C/[C@@]2(O)C#C,0,,,,,,,,0,0,,,1
CN(CCCl)CCCl,0,,,,,,,,0,0,,,0
COC1=C(OC)C(=CC(=C1)[C@H]2[C@H]3[C@H](COC3=O)[C@@H](O)C4=C2C=C5OCOC5=C4)OC,0,,,,,,,,0,3,,,0
C[C@@H]1O[C@@H](OC(=O)CC2=CC=CC=C2)[C@H](O)[C@H](O)[C@H]1O,0,,0,,,,,,0,0,,,
CC(C)(C)C1=CC=C(C=C1)C(=O)NC2=C[N]3C=C(C=CC3=N2)[N]4C=CN=C4,0,,1,,,,,,,,,,
OC[C@H]1O[C@@H](OCC2=CC=CC=C2)[C@H](O[C@@H]3OC[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@@H]1O,0,,0,,,,,,0,0,,,
C[C@@H](OC1=C(N)N=CC(=C1)C2=C(C)N=C(S2)[C@](C)(O)CO)C3=C(C=CC(=C3)F)[N]4N=CC=N4,0,,1,,,,,,0,0,,,0
CC1C\C=C\C=C/CCCCC(O)C\C=C\C(=O)O1,0,,0,,,,,,0,0,,,
CC\1=C\2CC(C)(C)CC2C(O)\C3=C(/C1)C(=O)OC3O,0,,0,,,,,,0,0,,,
CC1CC/C=C(C)/CC\2OC(=O)\C(=C2CC1=O)C,0,,0,,,,,,0,0,,,
CCC(C)C(=O)O[C@H]1CC(=C2[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@]3(C)CC[C@H](OC(C)=O)C(=C)[C@H]3[C@H](OC(C)=O)[C@H]1C2(C)C)C,0,,2,,,,,,0,0,,,
COC1CC(OC(C)C1OC2CC(OC)C(OC3CC(OC)C(OC4OC(C)C(OC5OC(CO)C(O)C(O)C5O)C(OC)C4O)C(C)O3)C(C)O2)O[C@H]6CC[C@@]7(C)C(CCC8C7[C@H](O)[C@@H](O)[C@]9(C)[C@H](CC[C@]89O)[C@H](C)OC(=O)\C(C)=C\C)C6,0,,0,,,,,,0,0,,,
CC(C)C1NC(=O)C2CCCN2C1=O,0,,0,,,,,,0,0,,,
CC1=CC(=CC(=C1)OCC2=CC=C(CN3CCCC3CO)C=C2)C[S+]([O-])(=O)C4=CC=CC=C4,0,,1,,,,,,,,,,
OC[C@H]1O[C@@H](OC2=C3C(=O)C(O)(CC4=CC=C(O)C=C4)OC3=CC(=C2)O)[C@H](O)[C@@H](O)[C@@H]1O,0,,1,,,,,,0,0,,,
COC1=CC(=CC(=C1O)OC)\C=C\C(=O)OC[C@H]2O[C@H](O[C@]3(CO)O[C@H](CO)[C@@H](O)[C@@H]3O)[C@H](O)[C@@H](O)[C@@H]2O,0,,0,,,,,,0,0,,,
CCC(CC)NC1=C(OC)N=C(C(=N1)C)C2=CC=C(OC(F)(F)F)C=C2OC,0,,1,,,,,,0,0,,,
BrC1=CC2=C([NH]C3=C2CC(=O)NC4=C3N=CC=C4)C=C1,0,,1,,,,,,0,0,,,
CCN(CC)CCOC1=CC=C(C=C1)\C(=C(/Cl)C2=CC=CC=C2)C3=CC=CC=C3,0,,1,,,,,,0,1,,,0
OC[C@H]1O[C@@H](O[C@@H]2O\C=C/C3C(O)\C=C(\COC(=O)C4=CC=CC=C4)C23)[C@H](O)[C@@H](O)[C@@H]1O,0,,0,,,,,,0,0,,,
COC(=O)C/1=C/O[C@@H](OC2OC(COC3OC(CO)C(O)C(O)C3O)C(O)C(O)C2O)\C(=C/C)[C@@H]1CC(=O)OCCC4=CC=C(O)C=C4,0,,2,,,,,,0,0,,,
CC1CC(O)C2C(OC(=O)C2=C)\C3=C(/C)C(=O)CC13,0,,1,,,,,,0,0,,,
COC1=C2OCOC2=CC(=C1)C\C(=C\NC(C)=O)N(CC(=O)CC3=CC=CC=C3)C(C)=O,0,,0,,,,,,0,0,,,
CC(C)C/1(CCC2C(=C1)/C(=O)CC3C2(C)CCCC3(C)C(O)=O)OO,0,,0,,,,,,0,0,,,
C[C@@H]1C[C@H]2O[C@@]3(O[C@@H]2C(C)(C)O)C(O)[C@@]4(C)C5CCC6C(C)(C)[C@H](CC[C@@]67C[C@@]57CC[C@]4(C)C13)O[C@H]8OC[C@H](O)[C@@H](O)[C@@H]8O,0,,2,,,,,,0,0,,,
CO[C@H]1[C@@H](O)[C@@H](C)O[C@@H](O[C@H]\2CC[C@]\3(C)C4CC[C@]5(C)[C@H](CC[C@]5(O)C4(O)CC(OC(C)=O)C3=C2)\C6=C\C(=O)OC6)[C@@H]1O,0,,3,,,,,,0,3,,,
COC1CCCCC(=C\C2\C=C(C)/C(C)C3C(CC(C)C)NC(=O)C23C(=O)C1)\C,0,,0,,,,,,0,0,,,
COC1=CC2=C(C=C1OCCCN3CCCC3)\N=C(N)/C24CCC4,0,,1,,,,,,,,,,
CN(C)CCC[C@@]1(OCC2=CC(=CC=C12)C#N)C3=CC=C(F)C=C3,0,,0,,,,,,,,,,
COCCN1CCN(CC1)CC2=CC=C(C=C2)C3=N[NH]C4=C3C(=O)C5=C4C=CC=C5NC(=O)NN6CCOCC6,0,,3,,,,,,,,,,
C[N]1N=CC(=C1C2=C(Cl)OC(=C2)C(=O)NC(CN)CC3=CC(=C(F)C=C3)F)Cl,0,,3,,,,,,,,,,
CCC1=C(OC[C@@H](O)CN[C@H]2CCCC3=C2C=CC=C3)C=CC=C1,0,,1,,,,,,1,0,,,
CC1=CC(=C2C=CC=CC2=N1)NC(=O)NCCN3CCC(O)(CC3)CC4=CC=CC=C4,0,,1,,,,,,0,0,,,
CCC1=N[N](C)C(=C1Cl)C(=O)NCC2=CC=C(OC3=CC=C(C)C=C3)C=C2,0,,3,,,,,,0,0,,,
CCN(CC)C(=O)C(N1CCN(CC1)C2=CC=C(NC(=O)C3=C(C=CC=C3)C4=CC=CN=C4)C=C2F)C5=CC=CC=C5,0,,1,,,,,,0,0,,,
COC1=C(NC(=O)C2NC(CC(C)(C)C)C(C#N)(C2C3=C(F)C(=CC=C3)Cl)C4=C(F)C=C(Cl)C=C4)C=CC(=C1)C(O)=O,0,,1,,,,,,,,,,
FC(F)(F)C1=CN=C(NC(=O)N2CCN(CC2)C3=C(C=CC=N3)C(F)(F)F)C=C1,0,,1,,,,,,0,0,,,
C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(=C4)O)[C@@H]1C[C@@H](O[C@@H]5O[C@@H]([C@@H](O)[C@H](O)[C@H]5O)C(O)=O)[C@@H]2O,0,,0,,,,,,0,0,,,
OC[C@H]1[C@H](O)O[C@@H]2[C@H]1O\C3=N\C(=N)\C=C/[NH]23,0,,2,,,,,,0,0,,,
CCCCCCCOC1=C(C=C2C(=C1)[S+]([O-])(=O)CCC2(C)C)C(/C)=C/C3=CC=C(C=C3)C(O)=O,1,,1,,,,,,0,2,,,
O=S(=O)(N1C=NC2=C1C=CC=C2)C3=CC=C(C=C3)S(=O)(=O)N4CCCCCC4,0,,0,,,,,,0,0,,,
CNC1=NC(=C(C=C1)[N+]([O-])=O)NC2=CC=C3[NH]N=CC3=C2,0,,1,,,,,,0,1,,,
CC1=NC2=C(C3=C(CCCC3)S2)C(=N1)N4CCN(CC4)C(=O)C5=CC=CO5,0,,1,,,,,,0,0,,,
COC1=CC(=CC=C1)C2=CC(=NC(=N2)N)NCC3=CC=C4OCOC4=C3,0,,3,,,,,,0,2,,,
O=C(COc1ccc(cc1)C(\C)=N\O)N2CCCCC2,0,,0,0,,,,,0,0,,,
CC(C)N(C[C@H]1O[C@H]([C@H](O)[C@@H]1O)[N]2C=NC3=C2N=CN=C3N)[C@@H]4C[C@H](CCC5=NC6=CC(=CC=C6[NH]5)C(C)(C)C)C4,0,,,,,,,,0,0,,,0
ClC/1=C(NCCN2CCOCC2)/C(=O)C3=C(C=CC=N3)C1=O,2,,1,1,,,,,2,2,,,0
CN(C)CCN[S+]([O-])(=O)CC1=CC=CC(=C1)NC2=NC=CC(=N2)OC3=CC4=C([NH]C(=C4)C)C=C3,0,,,,,,,,1,1,,,0
CN1CCN(CC1)C2=CC=C(C=C2)C3=NC4=C(N5CCN(CC5)CC6=NOC(=C6)C)C(=CN=C4[NH]3)Br,0,,,,,,,,0,1,,,2
O=C1\C=C(OC2=C1SC=C2C3=CC=C4OCCOC4=C3)\N5CCOCC5,0,,,,,,,,0,2,,,0
CC(C)=CCC\C(C)=C\CC\C(C)=C\CSC1=C(C=CC=C1)C(O)=O,1,,,,,,,,0,0,,,0
CC1=CC(=CC2=C1[C@]3(C)CC[C@H]4C(C)(C)CCC[C@]4(C)[C@H]3C2)O,0,,,,,,,,0,0,,,0
OC[C@H](CC1=CC=CC=C1)NC2=NC(=NC3=C2N=C[N]3CC4=CC=C(C=C4)C5=CC=CC=C5)OC6=CC7=C(CCC7)C=C6,0,,,,,,,,0,0,,,0
CC(C)(C)[S+]([O-])(=O)C1=CC=C2N=CC=C(NC3=N[NH]C4=C3C=C(F)C=C4)C2=C1,0,,,,,,,,0,1,,,0
CC(C)(C)C1=CN=C(CSC2=CN=C(NC(=O)C3CCNCC3)S2)O1,0,,,,,,,,0,1,,,0
FC(F)(F)COc3ccnc(CS(=O)c1nc2ccccc2n1)c3C,0,,1,0,,,,,0,0,,,0
FC1=CC=C(C=C1)C(=O)N2CCC[C@@H](C2)C3=NC(=NO3)C4=CC=C(F)C=C4,0,,,,,,,,0,0,,,0
FC1=CC=CC(=C1)[N]2C=NC3=C2N=C(N=C3NCC4=NC5=C([NH]4)C(=C(F)C=C5)F)N6CCOCC6,0,,,,,,,,0,3,,,0
COC1=C(OC)C=C2C(=CC=NC2=C1)OC3=CC=C(NC(=O)\C4=C\N(C(C)C)C(=O)N(C4=O)C5=CC=C(F)C=C5)C=C3F,0,,,,,,,,0,0,,,0
C[C@@]1(O)CC[C@@H]2[C@H](OC(=O)C2=C)[C@@H]3[C@H]1C[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C3=C,0,,0,,,,,,0,0,,,
